SITE_ID,n_months,prop_source_months,prop_sink_months,prop_source_gradient_months,mean_CH4_mgC_30min,median_CH4_mgC_30min,sd_monthly_CH4,mean_gradient_mgC_30min,median_gradient_mgC_30min,mean_storage_mgC_30min,median_storage_mgC_30min,median_storage_abs_fraction,sign_changes,CH4_behavior,CH4_gradient_behavior,behavior_changed_from_gradient,MAP,MAT,acidity,carbonTot,nitrogenTot,sulfurTot,clayTotal,sandTotal,bulkDensOvenDry,LAI.mean,canopyHeight_m,EcoType
BARR,11,0.5454545454545454,0.4545454545454546,0.6363636363636364,0.01024071459361366,2.7815976029462954e-5,0.03950301258241174,0.010237917848038805,1.8715937621693424e-5,2.7967455748535244e-6,5.139684704584044e-6,0.09042521347492474,5,Fluctuating,Fluctuating,FALSE,110,-12,43,1.99,10.0283333333333,1.99,24.2275,38.3475,1.51297115384615,0.371703473886533,0.3,Wetland
BART,32,0.71875,0.28125,0.71875,0.02420082154977463,0.016211096278614646,0.12020935278113316,0.024146333223639457,0.016079745895023173,5.448832613517934e-5,3.6386622080695726e-5,0.050752450004897615,12,Fluctuating,Fluctuating,FALSE,1246,5.6,60.3684210526316,0.496052631578947,4.20394736842105,0.496052631578947,3.13333333333333,67.62,1.1358620689655201,2.03997081622457,20,Forest
BLAN,27,0.4444444444444444,0.5555555555555556,0.48148148148148145,0.004380146135928381,-0.001632364079304312,0.08216403611413131,0.005027672836240874,-3.238576695377756e-4,-6.475267003124915e-4,-4.0622378344223415e-5,0.005879055042823321,13,Fluctuating,Fluctuating,FALSE,982.55,12.1,7.775,0.0433333333333333,0.97,0.0433333333333333,26.1083333333333,27.8,1.54510204081633,1.59982944694717,4,Forest
BONA,29,0.5172413793103449,0.48275862068965514,0.5172413793103449,-0.01153580320277314,1.2858301756456247e-4,0.06530625087062422,-0.011566222761523876,8.942611333583964e-5,3.0419558750738967e-5,3.892597313140114e-5,0.004910625780502369,16,Fluctuating,Fluctuating,FALSE,275,-2,62.05,0.42027027027027,6.53648648648649,0.42027027027027,8.57924528301887,34.0849056603774,1.51297115384615,0.682728736903336,6.4,Forest
CLBJ,32,0.71875,0.28125,0.71875,0.08877216627307889,0.023117715430366996,0.3529455861855127,0.08968627216974155,0.023222698875418356,-9.141058966626565e-4,-2.595894395730698e-4,0.04643960615402368,14,Fluctuating,Fluctuating,FALSE,925.61,17.5,3.70909090909091,0.0223880597014925,0.492537313432836,0.0223880597014925,16.7686567164179,62.1388059701493,1.64404255319149,1.49708422699265,16,Grassland
CPER,31,0.7419354838709677,0.25806451612903225,0.7419354838709677,0.028398050162155387,0.010614202372105601,0.07112905522705136,0.028395692115090725,0.010629207275524206,2.358047064661743e-6,1.3082525457987541e-6,0.018427311045874393,8,Fluctuating,Fluctuating,FALSE,320,8.6,1.72631578947368,0.192105263157895,0.746052631578947,0.192105263157895,19.4315789473684,64.3157894736842,1.55026666666667,0.35214216262916,0.3,Grassland
DCFS,35,0.6285714285714286,0.37142857142857144,0.6285714285714286,-0.002437574550393556,0.0017681574747432905,0.03224030474848142,-0.0024326745901732823,0.0017734744845606595,-4.8999602202753965e-6,-5.48540755482742e-6,0.0025709923690433994,15,Fluctuating,Fluctuating,FALSE,489.74,4.9,10.0529411764706,0.189655172413793,1.91896551724138,0.189655172413793,24.4965517241379,44.4396551724138,1.43106382978723,1.02028354835506,1,Grassland
DEJU,29,0.5517241379310345,0.4482758620689655,0.5517241379310345,0.003299780236767188,0.004669498499489968,0.03954391457218558,0.0032995333728162626,0.0046858944637878305,2.468639509248584e-7,2.5733302697669173e-7,0.005697854639175518,11,Fluctuating,Fluctuating,FALSE,300,-2,14.2513513513514,0.166216216216216,1.92027027027027,0.166216216216216,7.69444444444444,52.6791666666667,1.225,0.541847752310892,6.1,Forest
DSNY,22,0.6818181818181818,0.31818181818181823,0.6818181818181818,0.023793091901065523,0.014538838297666425,0.11671085005249873,0.023766528345490475,0.014650006876403705,2.6563555575041707e-5,3.419244145928417e-5,0.0038886267798714973,10,Fluctuating,Fluctuating,FALSE,1216.09,22.5,10.5814285714286,0.0485714285714286,0.578571428571429,0.0485714285714286,1.17,95.3685714285714,1.51297115384615,0.84217468373772,2,Cropland
GRSM,32,0.875,0.125,0.875,0.06976494214245374,0.04792197953516612,0.08519698448912166,0.0696830479938396,0.047796596292634316,8.189414861413457e-5,3.308875802203699e-5,0.006646724858954186,7,Consistent source,Consistent source,FALSE,1375,13.1,40.2038461538462,0.257692307692308,3.74230769230769,0.257692307692308,20.62,42.3022222222222,1.26225806451613,2.08767388481439,31,Forest
