SITE_ID,n_months,prop_source_total,prop_source_gradient,behavior_total,behavior_gradient,behavior_changed_from_gradient,mean_total_mgC_30min,mean_gradient_mgC_30min,mean_storage_mgC_30min,median_storage_abs_fraction
BARR,11,0.5454545454545454,0.6363636363636364,Fluctuating,Fluctuating,FALSE,0.01024071459361366,0.010237917848038805,2.7967455748535244e-6,0.09042521347492474
BART,32,0.71875,0.71875,Fluctuating,Fluctuating,FALSE,0.02420082154977463,0.024146333223639457,5.448832613517934e-5,0.050752450004897615
BLAN,27,0.4444444444444444,0.48148148148148145,Fluctuating,Fluctuating,FALSE,0.004380146135928381,0.005027672836240874,-6.475267003124915e-4,0.005879055042823321
BONA,29,0.5172413793103449,0.5172413793103449,Fluctuating,Fluctuating,FALSE,-0.01153580320277314,-0.011566222761523876,3.0419558750738967e-5,0.004910625780502369
CLBJ,32,0.71875,0.71875,Fluctuating,Fluctuating,FALSE,0.08877216627307889,0.08968627216974155,-9.141058966626565e-4,0.04643960615402368
CPER,31,0.7419354838709677,0.7419354838709677,Fluctuating,Fluctuating,FALSE,0.028398050162155387,0.028395692115090725,2.358047064661743e-6,0.018427311045874393
DCFS,35,0.6285714285714286,0.6285714285714286,Fluctuating,Fluctuating,FALSE,-0.002437574550393556,-0.0024326745901732823,-4.8999602202753965e-6,0.0025709923690433994
DEJU,29,0.5517241379310345,0.5517241379310345,Fluctuating,Fluctuating,FALSE,0.003299780236767188,0.0032995333728162626,2.468639509248584e-7,0.005697854639175518
DSNY,22,0.6818181818181818,0.6818181818181818,Fluctuating,Fluctuating,FALSE,0.023793091901065523,0.023766528345490475,2.6563555575041707e-5,0.0038886267798714973
GRSM,32,0.875,0.875,Consistent source,Consistent source,FALSE,0.06976494214245374,0.0696830479938396,8.189414861413457e-5,0.006646724858954186
HEAL,34,0.5294117647058824,0.5,Fluctuating,Fluctuating,FALSE,0.0022306909657398024,0.002234413446741963,-3.7224810021599404e-6,0.027992451987678843
JERC,31,0.6451612903225806,0.6451612903225806,Fluctuating,Fluctuating,FALSE,-0.0174771990129113,-0.017658737144919393,1.815381320080944e-4,0.006380457526103578
JORN,23,1,1,Consistent source,Consistent source,FALSE,0.019392962782781707,0.01939479531067145,-1.8325278897441236e-6,0.005037992441486214
KONA,35,0.8285714285714286,0.8285714285714286,Consistent source,Consistent source,FALSE,0.01716634052574209,0.01717810363289352,-1.1763107151424905e-5,0.002467854133420522
KONZ,35,0.7714285714285715,0.7714285714285715,Consistent source,Consistent source,FALSE,0.015033459979535218,0.015037738954370473,-4.278974835254862e-6,0.0012894722646246593
LAJA,33,0.7878787878787878,0.7878787878787878,Consistent source,Consistent source,FALSE,0.09082387677187384,0.09088767662408312,-6.379985220926982e-5,5.029131120287032e-4
LENO,28,0.8214285714285714,0.8214285714285714,Consistent source,Consistent source,FALSE,0.09344847904952144,0.093133244848098,3.1523420142344803e-4,0.01953353810997653
MLBS,30,0.7666666666666667,0.7333333333333333,Consistent source,Fluctuating,TRUE,0.020365994539645674,0.02035996839873259,6.026140913082339e-6,0.033015721826182724
MOAB,35,0.9714285714285714,0.9714285714285714,Consistent source,Consistent source,FALSE,0.02119293603029656,0.021203954920169285,-1.1018889872724768e-5,0.0030179407378075705
NIWO,20,0.6,0.6,Fluctuating,Fluctuating,FALSE,0.04343804006018034,0.04342525454093132,1.2785519249016431e-5,0.022240651551641094
NOGP,33,1,1,Consistent source,Consistent source,FALSE,0.047119613008247026,0.04712578991263098,-6.176904383950358e-6,0.0016447815318473141
OAES,34,0.9411764705882353,0.9411764705882353,Consistent source,Consistent source,FALSE,0.04755114176779353,0.0476032740150257,-5.213224723216478e-5,0.003589955166834082
ONAQ,28,0.5714285714285714,0.5714285714285714,Fluctuating,Fluctuating,FALSE,0.006497465987375149,0.006495925510001242,1.5404773739053822e-6,0.042307891226127374
ORNL,29,0.7931034482758621,0.7931034482758621,Consistent source,Consistent source,FALSE,0.039820319800713766,0.03981687525159518,3.444549118593793e-6,0.04025541187932196
RMNP,12,0.75,0.75,Consistent source,Consistent source,FALSE,0.04492883567784358,0.04488383612749432,4.499955034925384e-5,0.005702492436669024
SCBI,35,0.8,0.8,Consistent source,Consistent source,FALSE,0.022576493062927493,0.022559450867753975,1.7042195173518783e-5,0.08144094388621496
SERC,33,0.6060606060606061,0.6060606060606061,Fluctuating,Fluctuating,FALSE,0.007435372293268281,0.007503911895252818,-6.853960198453857e-5,0.06136878348172004
SJER,35,0.8571428571428571,0.8571428571428571,Consistent source,Consistent source,FALSE,0.02880905979116322,0.0287924464650946,1.661332606862211e-5,0.07698486016157992
SOAP,33,0.8484848484848485,0.8484848484848485,Consistent source,Consistent source,FALSE,0.016935150715252652,0.016924885898373286,1.026481687936328e-5,0.0434357684621189
SRER,29,1,1,Consistent source,Consistent source,FALSE,0.015491220571768686,0.015496791798989974,-5.571227221291591e-6,0.003957174156743846
STEI,31,0.6451612903225806,0.6451612903225806,Fluctuating,Fluctuating,FALSE,-0.0030769174473525614,-0.003053270658170892,-2.364678918166975e-5,0.11195650811438776
STER,33,0.9393939393939394,0.9393939393939394,Consistent source,Consistent source,FALSE,0.02321866465373492,0.02322979178567747,-1.1127131942546456e-5,0.003524417852504785
TALL,31,0.8709677419354839,0.8709677419354839,Consistent source,Consistent source,FALSE,0.00525951297540958,0.005523341233195891,-2.638282577863128e-4,0.012409621997925368
TREE,34,0.8529411764705882,0.8529411764705882,Consistent source,Consistent source,FALSE,0.003199332983003577,0.0032381586152667873,-3.88256322632124e-5,0.13291407824233423
