scale,response,driver,driver_value,fit,lwr,upr
30 min,source_probability,Tair_C_within_site,-17.878724292155233,0.5598231663402403,0.4898354096989561,0.6275107913410476
30 min,source_probability,Tair_C_within_site,-16.444961749075148,0.5609004349580677,0.4910500191394924,0.628418517013329
30 min,source_probability,Tair_C_within_site,-15.326775964713304,0.5612687242603882,0.49149588103898295,0.628700309943148
30 min,source_probability,Tair_C_within_site,-14.343141737668724,0.5612883171419901,0.4915677964002803,0.6286702870467067
30 min,source_probability,Tair_C_within_site,-13.471504877737006,0.5610883621911633,0.4914064170012264,0.6284418905128748
30 min,source_probability,Tair_C_within_site,-12.642646877629538,0.5607220938606486,0.49107372230957824,0.6280581434409382
30 min,source_probability,Tair_C_within_site,-11.848903129081885,0.5602191899314055,0.4906028296991708,0.6275443687506845
30 min,source_probability,Tair_C_within_site,-11.137794649739465,0.5596472823071451,0.4900610687435681,0.6269659085154011
30 min,source_probability,Tair_C_within_site,-10.425139481448003,0.5589621838965091,0.4894084669240935,0.6262762941880673
30 min,source_probability,Tair_C_within_site,-9.783039308481838,0.5582504567405744,0.488728276961717,0.6255619027995154
30 min,source_probability,Tair_C_within_site,-9.178665687929918,0.5574993473612736,0.4880087620906169,0.6248095072752556
30 min,source_probability,Tair_C_within_site,-8.598038420855945,0.5567036680557855,0.4872449475876543,0.6240139107571551
30 min,source_probability,Tair_C_within_site,-8.021174308617717,0.5558410390957733,0.48641510104249264,0.6231529614890715
30 min,source_probability,Tair_C_within_site,-7.467785154289347,0.5549456074610873,0.485551795340578,0.6222609936487755
30 min,source_probability,Tair_C_within_site,-6.925019090208231,0.5540023633513054,0.48464033986869365,0.621323258899741
30 min,source_probability,Tair_C_within_site,-6.411581493144689,0.5530504913457238,0.48371849273045847,0.6203788131642072
30 min,source_probability,Tair_C_within_site,-5.865774852620297,0.5519747890652256,0.48267439045262134,0.6193136241945227
30 min,source_probability,Tair_C_within_site,-5.313309379601041,0.5508188516828422,0.48154990010161153,0.6181712701143547
30 min,source_probability,Tair_C_within_site,-4.778347645955194,0.5496353054557723,0.4803961821014534,0.6170037894399376
30 min,source_probability,Tair_C_within_site,-4.220290733811723,0.548333770877857,0.4791251079742248,0.6157220502933506
30 min,source_probability,Tair_C_within_site,-3.6783124065732506,0.5470052038421298,0.47782558566694794,0.6144155445446418
30 min,source_probability,Tair_C_within_site,-3.15345530617466,0.545659234830039,0.47650742214928393,0.6130933810250687
30 min,source_probability,Tair_C_within_site,-2.6359183583111365,0.5442764651221621,0.4751519990474406,0.6117361467838996
30 min,source_probability,Tair_C_within_site,-2.1223049772975147,0.54285168450737,0.4737545606793568,0.6103383933604531
30 min,source_probability,Tair_C_within_site,-1.6173010625881088,0.5414022807445626,0.4723325171098334,0.6089168392079976
30 min,source_probability,Tair_C_within_site,-1.1405401518468408,0.5399924610306572,0.4709492025345819,0.6075341390740192
30 min,source_probability,Tair_C_within_site,-0.6747517719611102,0.5385790314411183,0.46956249751188894,0.606147684093224
30 min,source_probability,Tair_C_within_site,-0.24411944151624598,0.5372433081325062,0.4682523424068891,0.6048370902081359
30 min,source_probability,Tair_C_within_site,0.17504017604994512,0.5359191540914297,0.4669539484582363,0.6035373924022008
30 min,source_probability,Tair_C_within_site,0.5983035483794557,0.5345609191446513,0.4656226333224364,0.6022037056203194
30 min,source_probability,Tair_C_within_site,1.0278014599021437,0.533164280243994,0.46425422834212204,0.6008317138880187
30 min,source_probability,Tair_C_within_site,1.4497389595385344,0.5317777008167622,0.46289621972540096,0.5994690209139513
30 min,source_probability,Tair_C_within_site,1.864187875534887,0.5304053531951921,0.46155262584775003,0.598119794373661
30 min,source_probability,Tair_C_within_site,2.291880165795313,0.5289824130173001,0.4601599033106675,0.5967203746445402
30 min,source_probability,Tair_C_within_site,2.7134697396769174,0.5275773472520738,0.45878494515113233,0.5953382118011716
30 min,source_probability,Tair_C_within_site,3.1503760143903774,0.5261235013477162,0.457362352933406,0.5939079042939726
30 min,source_probability,Tair_C_within_site,3.609644961927006,0.5246034169403497,0.4558748116106067,0.592412497071124
30 min,source_probability,Tair_C_within_site,4.0875885892430714,0.5230371707575467,0.45434163312849773,0.5908720640384256
30 min,source_probability,Tair_C_within_site,4.530289610716428,0.5216070646543769,0.45294098166928987,0.5894661948864177
30 min,source_probability,Tair_C_within_site,4.98724296659506,0.5201584127041846,0.45152108469864455,0.5880431046260677
30 min,source_probability,Tair_C_within_site,5.451915915031666,0.5187209896368589,0.4501107125882295,0.5866324547273017
30 min,source_probability,Tair_C_within_site,5.904713389981147,0.5173619658455126,0.4487754824592289,0.5853004607162833
30 min,source_probability,Tair_C_within_site,6.348950057264953,0.5160753685540288,0.44750938154656833,0.5840414251470396
30 min,source_probability,Tair_C_within_site,6.8063294950827995,0.514806075101456,0.44625789457087145,0.5828016850858424
30 min,source_probability,Tair_C_within_site,7.216098360395703,0.5137224594871435,0.4451871468312142,0.5817455949529406
30 min,source_probability,Tair_C_within_site,7.656165272330381,0.5126211741002956,0.4440962318290021,0.5806749573548904
30 min,source_probability,Tair_C_within_site,8.09745740597725,0.5115879425516383,0.443069664730212,0.5796735160930483
30 min,source_probability,Tair_C_within_site,8.555257213989153,0.5105979618360217,0.4420825478797814,0.5787174922679067
30 min,source_probability,Tair_C_within_site,8.997736352506212,0.5097266315212986,0.44121003178833457,0.5778797363897094
30 min,source_probability,Tair_C_within_site,9.459138852981784,0.508913975690954,0.44039201959084323,0.5771026271640132
30 min,source_probability,Tair_C_within_site,9.940475836976272,0.5081773550807646,0.43964539837530486,0.576403353616084
30 min,source_probability,Tair_C_within_site,10.411939280227955,0.5075723123980431,0.43902629107589153,0.5758348144482552
30 min,source_probability,Tair_C_within_site,10.88517490577578,0.5070869167548913,0.43852263274489794,0.575385651453768
30 min,source_probability,Tair_C_within_site,11.399326557802034,0.5067043769524463,0.43811563338050724,0.5750416788975462
30 min,source_probability,Tair_C_within_site,11.936934749694823,0.5064723084935755,0.43785286440143895,0.5748487696419405
30 min,source_probability,Tair_C_within_site,12.519548721066958,0.5064216887526803,0.43776290045080213,0.5748391123658664
30 min,source_probability,Tair_C_within_site,13.166265282834601,0.5066177246440635,0.43790729504837533,0.575079071938013
30 min,source_probability,Tair_C_within_site,13.89449963900012,0.5071637763707005,0.43838365135837903,0.5756737929142255
30 min,source_probability,Tair_C_within_site,14.69555838265985,0.5081682910371771,0.4392940237787463,0.5767338840892119
30 min,source_probability,Tair_C_within_site,15.688619634346825,0.510001623752408,0.44097672835886337,0.5786472452894252
30 min,magnitude_log_abs,Tair_C_within_site,-17.878724292155233,-3.0190207239360363,-3.2767571462905445,-2.761284301581528
30 min,magnitude_log_abs,Tair_C_within_site,-16.444961749075148,-2.9881450130057576,-3.2458210084676002,-2.730469017543915
30 min,magnitude_log_abs,Tair_C_within_site,-15.326775964713304,-2.9651559800009184,-3.2227935397541625,-2.7075184202476743
30 min,magnitude_log_abs,Tair_C_within_site,-14.343141737668724,-2.94590838461171,-3.2035150638438146,-2.688301705379605
30 min,magnitude_log_abs,Tair_C_within_site,-13.471504877737006,-2.92971419076331,-3.1872939313507804,-2.67213445017584
30 min,magnitude_log_abs,Tair_C_within_site,-12.642646877629538,-2.915126632540924,-3.172679995745494,-2.657573269336354
30 min,magnitude_log_abs,Tair_C_within_site,-11.848903129081885,-2.9019361480062638,-3.1594628922430195,-2.644409403769508
30 min,magnitude_log_abs,Tair_C_within_site,-11.137794649739465,-2.8907847315486768,-3.1482861975302727,-2.633283265567081
