scale,response,driver,importance_median,importance_lwr,importance_upr,supported
30 min,magnitude_log_abs,PAR_within,1499.540519811716,1499.540519811716,1499.540519811716,TRUE
30 min,magnitude_log_abs,VSWC_within,225.72270558226086,225.72270558226086,225.72270558226086,TRUE
30 min,magnitude_log_abs,Tair_within,221.70945587837736,221.70945587837736,221.70945587837736,TRUE
30 min,magnitude_log_abs,day_of_year,200.38874764821102,200.38874764821102,200.38874764821102,TRUE
30 min,magnitude_log_abs,hour_of_day,14.69120322026447,14.69120322026447,14.69120322026447,TRUE
30 min,magnitude_log_abs,season,6.81423832590017,6.81423832590017,6.81423832590017,TRUE
30 min,magnitude_log_abs,EcoType,6.0896001719876285,6.0896001719876285,6.0896001719876285,TRUE
Daily,magnitude_log_abs,PAR_within,71.96077262990312,71.96077262990312,71.96077262990312,TRUE
Daily,magnitude_log_abs,Tair_within,71.28172404602948,71.28172404602948,71.28172404602948,TRUE
Daily,magnitude_log_abs,VSWC_within,29.367924873921403,29.367924873921403,29.367924873921403,TRUE
Daily,magnitude_log_abs,day_of_year,14.864351965747826,14.864351965747826,14.864351965747826,TRUE
Daily,magnitude_log_abs,EcoType,4.611621539969708,4.611621539969708,4.611621539969708,TRUE
Daily,magnitude_log_abs,season,2.0557435169583376,2.0557435169583376,2.0557435169583376,TRUE
Annual,magnitude_log_abs,EcoType,4.257838779121406,4.257838779121406,4.257838779121406,TRUE
Annual,magnitude_log_abs,ERA5_VSWC_site_mean,1.8739800248069818,1.8739800248069818,1.8739800248069818,TRUE
Annual,magnitude_log_abs,acidity,1.4081880536823053,1.4081880536823053,1.4081880536823053,TRUE
Annual,magnitude_log_abs,ERA5_Tair_site_mean,1.023901630930398,1.023901630930398,1.023901630930398,TRUE
Annual,magnitude_log_abs,ERA5_VSWC_within,0.6943905331373698,0.6943905331373698,0.6943905331373698,TRUE
Annual,magnitude_log_abs,ERA5_Tair_within,0.6779562559263189,0.6779562559263189,0.6779562559263189,TRUE
Annual,magnitude_log_abs,carbonTot,0.6609949008932977,0.6609949008932977,0.6609949008932977,TRUE
Annual,magnitude_log_abs,MAP,0.44320717220349737,0.44320717220349737,0.44320717220349737,TRUE
Annual,magnitude_log_abs,sulfurTot,0,0,0,FALSE
30 min,source_probability,PAR_within,3378.8447126769865,3378.8447126769865,3378.8447126769865,TRUE
30 min,source_probability,hour_of_day,2486.3176612843763,2486.3176612843763,2486.3176612843763,TRUE
30 min,source_probability,VSWC_within,1115.5369707353861,1115.5369707353861,1115.5369707353861,TRUE
30 min,source_probability,day_of_year,437.0710425679623,437.0710425679623,437.0710425679623,TRUE
30 min,source_probability,Tair_within,150.06715155422697,150.06715155422697,150.06715155422697,TRUE
30 min,source_probability,season,4.743924929101931,4.743924929101931,4.743924929101931,TRUE
30 min,source_probability,EcoType,3.075426631507819,3.075426631507819,3.075426631507819,TRUE
Daily,source_probability,PAR_within,250.18502552144702,250.18502552144702,250.18502552144702,TRUE
Daily,source_probability,Tair_within,227.62759732431186,227.62759732431186,227.62759732431186,TRUE
Daily,source_probability,day_of_year,124.79192516425368,124.79192516425368,124.79192516425368,TRUE
Daily,source_probability,EcoType,4.538163317608679,4.538163317608679,4.538163317608679,TRUE
Daily,source_probability,season,4.138105006650232,4.138105006650232,4.138105006650232,TRUE
Daily,source_probability,VSWC_within,0.3178840825876939,0.3178840825876939,0.3178840825876939,TRUE
Annual,source_probability,carbonTot,0.003185932332111164,0.003185932332111164,0.003185932332111164,TRUE
Annual,source_probability,ERA5_Tair_site_mean,0.001383126236862958,0.001383126236862958,0.001383126236862958,TRUE
Annual,source_probability,acidity,0.0013490083728560569,0.0013490083728560569,0.0013490083728560569,TRUE
Annual,source_probability,MAP,7.600045900741818e-4,7.600045900741818e-4,7.600045900741818e-4,FALSE
Annual,source_probability,EcoType,4.640548602237245e-4,4.640548602237245e-4,4.640548602237245e-4,FALSE
Annual,source_probability,ERA5_VSWC_site_mean,2.975026541315809e-4,2.975026541315809e-4,2.975026541315809e-4,FALSE
Annual,source_probability,ERA5_VSWC_within,8.293737424484819e-15,8.293737424484819e-15,8.293737424484819e-15,FALSE
Annual,source_probability,ERA5_Tair_within,3.1571502753489377e-16,3.1571502753489377e-16,3.1571502753489377e-16,FALSE
Annual,source_probability,sulfurTot,0,0,0,FALSE
