SITE_ID,Approach,dLevelsAminusB,tower_order,pair_span,n_retained,prop_negative_dConc,prop_positive_FG,median_mean_A,median_mean_B,median_dConc,median_abs_dConc,median_dConc_sd,median_dConcSNR,prop_p_lt_0_05,prop_cross_grad_flagged
KONZ,MBR,4_2,A above B,2,6689,0.5842427866646733,0.7085478887744593,2.0518490858490566,2.053905598679245,-0.0034787855800655354,0.006830024101236898,0.001395592097968241,4.409565968691273,1,0
KONZ,MBR,3_1,A above B,2,8048,0.5638667992047713,0.6279441117764472,2.051770799355189,2.0525634968820863,-0.003307614133654102,0.006576773032907823,0.0014089121680961538,4.311049010109159,1,0
KONZ,MBR,4_1,A above B,3,1454,0.5371389270976616,0.5688836104513064,2.052339584239057,2.054646715446247,-0.0031289829929623814,0.0064115164069713515,0.0015069915197668971,3.7282016480456406,1,0
KONZ,MBR,3_2,A above B,1,453,0.5342163355408388,0.7330677290836654,2.062092322615385,2.0630799565999998,-0.002874836664193303,0.006797124440052649,0.0015704425407462176,3.7007454021573265,1,0
KONZ,MBR,4_3,A above B,1,468,0.532051282051282,0.7336065573770492,2.054171515670681,2.055988384025199,-0.0028012536575521274,0.00676297031722739,0.001568318342067557,3.7323082294747962,1,0
KONZ,MBR,2_1,A above B,1,585,0.505982905982906,0.6223776223776224,2.0631016711864403,2.06192728,-0.0020419492244898585,0.00668180088257575,0.0016109188071034093,3.835497846564344,1,0
KONZ,WP,4_2,A above B,2,9317,0.48513470001073306,0.49056603773584906,2.0523846344230767,2.0529361831914894,0.002338575594155401,0.00590006633933049,0.001304644263716658,4.184808976155816,0.9997853155860884,0
KONZ,AE,4_2,A above B,2,9300,0.48473118279569893,0.48876618431073876,2.0524400722772134,2.052905353664286,0.002354897501065767,0.0058810700204980915,0.001302386283298966,4.181364048374157,0.9997849231100119,0
KONZ,AE,3_2,A above B,1,925,0.47135135135135137,0.4846153846153846,2.057647074509804,2.0580434808695656,0.002674710255602619,0.005601249720497137,0.0014539713059796614,3.586834789320211,0.9978378378378379,0
KONZ,WP,3_2,A above B,1,930,0.46774193548387094,0.4816955684007707,2.0572333252500004,2.057723589454839,0.0027086488570509104,0.00557327111758843,0.0014414808329688098,3.58619463288268,0.9978494623655914,0
KONZ,AE,3_1,A above B,2,9402,0.4644756434801106,0.46371191135734074,2.052824434435606,2.0521937957592824,0.0027704135629857962,0.005968858882100747,0.0013197452239810698,4.189524155082192,0.9998936283374109,0
KONZ,WP,3_1,A above B,2,9400,0.4631914893617021,0.46542302619182213,2.052847593851596,2.052196102156863,0.0027740709267480845,0.005968858882100747,0.0013187514430934417,4.187287012664411,0.9998936057027343,0
KONZ,AE,4_3,A above B,1,967,0.44881075491209926,0.44565217391304346,2.0529056581132075,2.0522600488,0.00291494192226871,0.005657310769230595,0.0014336368481405284,3.5936957229661877,0.9989658738366081,0
KONZ,WP,4_3,A above B,1,953,0.44491080797481636,0.44320297951582865,2.053352930392157,2.0525740877777774,0.003098198885942427,0.005653365825122769,0.0014288210702865175,3.6042898900475935,0.9989506820566632,0
KONZ,WP,4_1,A above B,3,1540,0.4448051948051948,0.4381625441696113,2.055151061586635,2.055432651979592,0.002862395765540038,0.005897286926252132,0.0014473386168410522,3.6524537412340967,0.9987012987012988,0
KONZ,AE,4_1,A above B,3,1535,0.44234527687296415,0.43565525383707204,2.0546603828301886,2.055457113142857,0.0029017106322406505,0.005940775427807576,0.0014533667465455294,3.663778946163973,0.9986970684039088,0
KONZ,WP,2_1,A above B,1,998,0.4088176352705411,0.4150537634408602,2.059086986012597,2.057439169014488,0.003270803581925552,0.005748091595187077,0.0014591992619239378,3.6413556640576945,1,0
KONZ,AE,2_1,A above B,1,997,0.40722166499498497,0.4262626262626263,2.0591042045833334,2.0574821148214286,0.0032707165952237105,0.005694430405982942,0.0014430006385262731,3.626190811463342,1,0
