SITE_ID,Approach,dLevelsAminusB,n_evaluable,n_retained,prop_negative_dConc_evaluable,prop_negative_dConc_retained,retention_rate_negative_dConc,retention_rate_positive_dConc,retention_rate_ratio_negative_to_positive,median_abs_dConc_evaluable,median_abs_dConc_retained,median_dConcSNR_evaluable,median_dConcSNR_retained
KONZ,MBR,4_1,61416,2706,0.41637358343102776,0.4870657797487066,0.05154074769278899,0.03872335676821783,1.3309989627523982,0.0016823365706822857,0.005625009642857393,1.2847843323766786,3.4538793298630965
KONZ,MBR,2_1,62898,1430,0.4419218417119781,0.4909090909090909,0.02525543243632177,0.02073955899948721,1.2177420183788006,0.001442843808936889,0.00479084347169767,1.1053386185377045,3.3462849149585034
KONZ,MBR,3_1,114328,20830,0.45068574627387864,0.4943831012962074,0.19986026472072352,0.1677016655520525,1.1917607619626736,0.0024224086678062973,0.004749946458332932,1.7516600014069323,3.575492377799751
KONZ,MBR,4_2,113654,17622,0.4854734545198585,0.5177618885484054,0.1653617514861534,0.1453196073737132,1.1379176869154246,0.0023420784095855574,0.004738942742430918,1.7339208260527177,3.623777767710873
KONZ,WP,4_1,31901,1880,0.4157863389862387,0.4473404255319149,0.06340470446320869,0.05574931587701883,1.1373180722625797,0.0016870636584411791,0.005263399864772089,1.2875107307005358,3.4318356641169654
KONZ,AE,4_1,31901,1872,0.4157863389862387,0.4444444444444444,0.06272617611580217,0.05580297258142405,1.124065138721351,0.0016870636584411791,0.00532160288787753,1.28565701844101,3.4401061561543735
KONZ,MBR,4_3,65338,1122,0.5015764180109584,0.5294117647058824,0.01812522885389967,0.016213228520542897,1.117928414500183,0.0013455261761547987,0.004697064226190317,1.0617491914041057,3.3373544643726465
KONZ,WP,3_1,59462,14896,0.4505230231071945,0.4741541353383459,0.2636529918996603,0.23973923423009824,1.0997490366829568,0.0024272533651514827,0.004430578842307575,1.742713943363694,3.4612172101570735
KONZ,AE,3_1,59462,14899,0.4505230231071945,0.4729176454795624,0.26301840307588936,0.2403513604505249,1.0943079439320684,0.0024272533651514827,0.004429678963110195,1.7411897348426453,3.463202841050869
KONZ,MBR,3_2,65258,1144,0.49483588219068925,0.5157342657342657,0.01827077914034436,0.016805193229387855,1.0872102980877114,0.001371097632850038,0.004748453269354913,1.0755337887110221,3.300117646157603
KONZ,AE,2_1,32711,1424,0.44355109901867873,0.4508426966292135,0.04424839754635054,0.04296231183386441,1.029935207338456,0.0014509784313725405,0.004464407944340998,1.1079158104643771,3.2930164218086007
KONZ,WP,2_1,32711,1420,0.44355109901867873,0.4507042253521127,0.04411055207112827,0.042852433798483684,1.0293593189726624,0.0014509784313725405,0.004496489345500176,1.1094553117870847,3.3056260452909783
KONZ,AE,4_2,59094,14670,0.48558229261853997,0.4896387184730743,0.2503223558111169,0.24629099641435573,1.016368277588105,0.0023430449037487033,0.00435423144660918,1.7330795862675497,3.475922082568799
KONZ,WP,4_2,59094,14702,0.48558229261853997,0.48925316283498843,0.25067084857989197,0.24701470443106682,1.0148013218777647,0.0023430449037487033,0.004357766605049829,1.7300953089702271,3.4697323294227185
KONZ,AE,3_2,33995,1307,0.4959258714516841,0.48967100229533284,0.03796191944955217,0.03892390289449113,0.975285534763907,0.0013785462461539666,0.004576573069227763,1.076135867700052,3.276416598748602
KONZ,WP,3_2,33995,1310,0.4959258714516841,0.4870229007633588,0.03784328845127232,0.0392156862745098,0.9650038555074442,0.0013785462461539666,0.0045731526554233515,1.0753898518278249,3.2715142557394183
KONZ,AE,4_3,33985,1372,0.5030454612328968,0.4803206997084548,0.03854702854468882,0.042216827520871573,0.913072601811009,0.0013526192873301035,0.004479465398539828,1.063968043260643,3.280644664306478
KONZ,WP,4_3,33985,1356,0.5030454612328968,0.47935103244837757,0.03802058961160505,0.04180235656344366,0.9095322067286087,0.0013526192873301035,0.004506231866595489,1.063279922181036,3.2936387850269613
KONZ,MBR,1_1,82,0,0.6097560975609756,NA,0,0,NA,7.04531666666508e-4,NA,0.781626517208717,NA
KONZ,MBR,4_4,1338,0,0.4962630792227205,NA,0,0,NA,0.0018178360419573991,NA,1.474600364592601,NA
KONZ,MBR,2_2,114,0,0.5263157894736842,NA,0,0,NA,7.186965625001207e-4,NA,0.7614385616597958,NA
KONZ,MBR,3_3,1128,0,0.5230496453900709,NA,0,0,NA,0.0019512911249164322,NA,1.6694349364338263,NA
KONZ,AE,1_1,175,0,0.5485714285714286,NA,0,0,NA,8.333670000002513e-4,NA,0.9044067947729367,NA
KONZ,AE,3_3,769,0,0.517555266579974,NA,0,0,NA,0.0016475858636137986,NA,1.4488011875466815,NA
KONZ,AE,4_4,868,0,0.5092165898617511,NA,0,0,NA,0.0016686714229730004,NA,1.4265080594489468,NA
KONZ,AE,2_2,198,0,0.5606060606060606,NA,0,0,NA,7.485813590908386e-4,NA,0.8719685960835055,NA
KONZ,WP,1_1,175,0,0.5485714285714286,NA,0,0,NA,8.333670000002513e-4,NA,0.9030031267857035,NA
KONZ,WP,3_3,769,0,0.517555266579974,NA,0,0,NA,0.0016475858636137986,NA,1.4255010047696437,NA
KONZ,WP,4_4,868,0,0.5092165898617511,NA,0,0,NA,0.0016686714229730004,NA,1.4303854491472123,NA
KONZ,WP,2_2,198,0,0.5606060606060606,NA,0,0,NA,7.485813590908386e-4,NA,0.8746912657051837,NA
