SITE_ID,Approach,tower_order,n,prop_FG_opposite_dConc,prop_FG_same_as_dConc,median_FG,median_dConc,prop_positive_FG,prop_negative_dConc
BARR,AE,A above B,3149,1,0,0.06002176747943673,-0.021881072017477354,0.9806287710384249,0.9806287710384249
BARR,MBR,A above B,4262,0.6858282496480526,0.31417175035194744,0.0015773438787734522,-0.03394722105438064,0.6895823557015486,0.986391365556077
BARR,WP,A above B,3149,1,0,0.05125870696164432,-0.0220007699037037,0.9806287710384249,0.9806287710384249
BONA,AE,A above B,1730,1,0,0.002071041530514977,-0.004323016567721827,0.7023121387283237,0.7023121387283237
BONA,MBR,A above B,3313,0.5575007546030788,0.4424992453969212,-6.7891699358329e-6,-0.011637724820569684,0.4998490793842439,0.8511922728644733
BONA,WP,A above B,1725,1,0,0.00737471790290328,-0.004286767307691841,0.6991304347826087,0.6991304347826087
DCFS,AE,A above B,6693,1,0,-0.005877281818235677,0.0023591931542283895,0.4669057223965337,0.4669057223965337
DCFS,MBR,A above B,6007,0.7799234226735475,0.22007657732645247,0.002552168659210091,0.0020008435143288317,0.6031296820376227,0.4942567005160646
DCFS,WP,A above B,6172,1,0,-0.006083645381557978,0.0024225691506221114,0.46289695398574204,0.46289695398574204
DEJU,AE,A above B,2509,1,0,-7.470105989813688e-4,0.004026628368421159,0.15942606616181745,0.15942606616181745
DEJU,MBR,A above B,3904,0.8404200819672131,0.15957991803278687,-7.74315915533896e-4,0.006003991309524004,0.20799180327868852,0.10835040983606557
DEJU,WP,A above B,2463,1,0,-0.007395963127319303,0.003999974339622403,0.1550954120990662,0.1550954120990662
GRSM,AE,A above B,11538,1,0,-1.4669062104471456e-4,0.0072363994536854825,0.25983706014907265,0.25983706014907265
GRSM,MBR,A above B,11758,0.8340704201394795,0.1659295798605205,-0.003769018811825839,0.011504133708791109,0.27674774621534276,0.1628678346657595
GRSM,WP,A above B,10755,1,0,-0.008991029816898725,0.007012005771759977,0.2667596466759647,0.2667596466759647
JORN,AE,A above B,2688,1,0,-0.003772828374792227,0.0026632941184059344,0.3854166666666667,0.3854166666666667
JORN,MBR,A above B,2949,0.7171922685656155,0.28280773143438453,-6.355396702617118e-4,0.0031855085423728724,0.4499830451000339,0.3557138012885724
JORN,WP,A above B,2684,1,0,-0.005249778667662162,0.002667303353174777,0.3848733233979136,0.3848733233979136
KONZ,AE,A above B,13081,1,0,-0.00635030491246808,0.0026228203178964016,0.4706062227658436,0.4706062227658436
KONZ,MBR,A above B,10517,0.8384520300465912,0.16154796995340875,0.004058133803396913,-0.00351430626037752,0.6577921460492536,0.5860036131976799
